COUNTRY,LT_MONTH,TOTAL_USERS
CL,2019-02-01,39663747.0
CL,2019-03-01,51028507.0
CL,2019-04-01,78795606.0
CL,2019-05-01,122670259.0
CL,2019-06-01,135755535.0
CL,2019-07-01,134093617.0
CL,2019-08-01,148147552.0
CL,2019-09-01,113474057.0
CL,2019-10-01,91575266.0
CL,2019-11-01,108486060.0
CL,2019-12-01,84644992.0
CL,2020-01-01,75031393.0
CL,2020-02-01,75420837.0
CL,2020-03-01,70623057.0
CL,2020-04-01,69277573.0
CL,2020-05-01,91114602.0
CL,2020-06-01,104218361.0
CL,2020-07-01,117940545.0
CL,2020-08-01,136835533.0
CL,2020-09-01,127716408.0
CL,2020-10-01,127434692.0
CL,2020-11-01,125909348.0
CL,2020-12-01,125773227.0
CL,2021-01-01,137435026.0
CL,2021-02-01,119919338.0
CL,2021-03-01,146281895.0
CL,2021-04-01,155045379.0
CL,2021-05-01,157716525.0
CL,2021-06-01,155833291.0
CL,2021-07-01,153795448.0
CL,2021-08-01,146926923.0
CL,2021-09-01,155233794.0
CL,2021-10-01,148526182.0
CL,2021-11-01,142194040.0
CL,2021-12-01,138654307.0
CL,2022-01-01,132101302.0
CL,2022-02-01,119594791.0
CL,2022-03-01,128723380.0
CL,2022-04-01,135119975.0
CL,2022-05-01,137350742.0
CL,2022-06-01,131042041.0
CL,2022-07-01,130244211.0
CL,2022-08-01,126535892.0
CL,2022-09-01,119927899.0
CL,2022-10-01,127021352.0
CL,2022-11-01,124996583.0
CL,2022-12-01,124781131.0
CL,2023-01-01,121935089.0
CL,2023-02-01,116659061.0
CL,2023-03-01,123296801.0
CL,2023-04-01,115423543.0
CL,2023-05-01,111254129.71854013
CL,2023-06-01,106914745.22981091
CL,2023-07-01,106537934.14839728
CL,2023-08-01,103899236.16965418
CL,2023-09-01,104815151.93473403
CL,2023-10-01,101542721.01304999
CL,2023-11-01,94263542.45099084
CL,2023-12-01,93657761.73007873
CL,2024-01-01,84511123.28891858
CL,2024-02-01,83925577.81329703
CL,2024-03-01,89936369.19182467
CL,2024-04-01,85044807.01552573
CL,2024-05-01,86708990.29968111
CL,2024-06-01,84497604.22793095
CL,2024-07-01,78047823.17349018
CL,2024-08-01,77704821.0107337
CL,2024-09-01,73987463.95963228
CL,2024-10-01,78928143.84433189
CL,2024-11-01,80804161.13377878
CL,2024-12-01,79456874.50824817
CL,2025-01-01,76168656.25834818
CL,2025-02-01,69837830.04143505
CL,2025-03-01,74358902.85077985
CL,2025-04-01,71242844.27403629
CL,2025-05-01,80160056.58029859
CL,2025-06-01,77635841.53869048
CL,2025-07-01,79523588.35490409
CL,2025-08-01,83880989.39430612
CL,2025-09-01,78470163.50718214
CL,2025-10-01,82836149.16081645
CL,2025-11-01,85707860.66911069
CL,2025-12-01,83057916.86693543
CL,2026-01-01,85150301.85769066
CL,2026-02-01,81564095.9944425
CL,2026-03-01,86416024.0594752
CL,2026-04-01,92324458.39861636
CL,2026-05-01,97517062.0
CL,2026-06-01,93573951.98230425
CL,2026-07-01,99522989.79577535
CL,2026-08-01,100732772.53201017
CL,2026-09-01,96794158.47851326
CL,2026-10-01,103066617.91598995
CL,2026-11-01,98424661.50213411
CL,2026-12-01,101635855.9644167
CL,2027-01-01,105222928.07081948
CL,2027-02-01,93812783.95526347
CL,2027-03-01,102209386.65982267
CL,2027-04-01,101296653.8485781
CL,2027-05-01,102759492.14127101
CL,2027-06-01,97122588.45951998
CL,2027-07-01,102906427.08355144
CL,2027-08-01,100305893.64712058
CL,2027-09-01,97786959.52817076
CL,2027-10-01,104381030.98142084
CL,2027-11-01,98708752.13903064
CL,2027-12-01,104169173.39225781
CL,2028-01-01,105272348.00224732
CL,2028-02-01,98354698.72736551
CL,2028-03-01,106826605.92594814
CL,2028-04-01,104896610.8938458
CL,2028-05-01,105975181.48031133
CL,2028-06-01,105490276.82497191
CL,2028-07-01,109249862.67105463
CL,2028-08-01,107893916.3294654
CL,2028-09-01,107676328.1425106
CL,2028-10-01,109126034.77624074
CL,2028-11-01,106375473.62077166
CL,2028-12-01,113183141.91990736
CL,2029-01-01,109930056.88052264
CL,2029-02-01,101655793.06553611
CL,2029-03-01,114694379.9039888
CL,2029-04-01,109628838.47524345
CL,2029-05-01,112913696.94642708
CL,2029-06-01,112957226.07863323
